rank,prev_rank,name,league,off,def,spi
150,152,Ferencvaros,UEFA Champions League,1.62,1.26,53.98
151,155,Genoa,Italy Serie A,1.49,1.14,53.9
152,154,Lokomotiv Moscow,Russian Premier Liga,1.42,1.08,53.82
153,176,Guimaraes,Portuguese Liga,1.34,0.99,53.8
154,156,Dinamo Moscow,Russian Premier Liga,1.33,1.0,53.57
155,163,Fenerbahce,Turkish Turkcell Super Lig,1.74,1.4,53.5
156,141,Alanyaspor,Turkish Turkcell Super Lig,1.43,1.11,53.35
157,159,Velez Sarsfield,Argentina Primera Division,1.22,0.9,53.34
158,161,Bragantino,Brasileiro Série A,1.33,1.0,53.32
159,160,Hapoel Be'er,UEFA Europa League,1.62,1.29,53.32
160,147,Trabzonspor,Turkish Turkcell Super Lig,1.56,1.23,53.3
161,162,Monterrey,Mexican Primera Division Torneo Apertura,1.56,1.24,53.09
162,185,Antwerp,Belgian Jupiler League,1.55,1.23,53.08
163,157,Stoke City,English League Championship,1.26,0.95,53.05
164,168,Santos,Brasileiro Série A,1.38,1.07,52.96
165,167,Rapid Vienna,Austrian T-Mobile Bundesliga,1.77,1.46,52.84
166,180,Lorient,French Ligue 1,1.42,1.12,52.82
167,164,Fluminense,Brasileiro Série A,1.3,1.0,52.8
168,165,CSKA Sofia,UEFA Europa League,1.32,1.02,52.77
169,166,Rostov,Russian Premier Liga,1.39,1.09,52.68
170,175,Swansea City,English League Championship,1.31,1.01,52.63
171,181,Blackburn,English League Championship,1.46,1.17,52.46
172,169,Anderlecht,Belgian Jupiler League,1.44,1.16,52.44
173,171,Vitesse,Dutch Eredivisie,1.61,1.32,52.43
174,158,Schalke 04,German Bundesliga,1.55,1.26,52.41
175,183,Middlesbrough,English League Championship,1.32,1.03,52.39
176,170,Cruz Azul,Mexican Primera Division Torneo Apertura,1.5,1.22,52.37
177,151,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.72,1.44,52.12
178,173,Pachuca,Mexican Primera Division Torneo Apertura,1.3,1.03,52.09
179,191,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.49,1.22,51.93
180,177,Defensa y Justicia,Argentina Primera Division,1.28,1.02,51.81
181,182,Santos Laguna,Mexican Primera Division Torneo Apertura,1.46,1.21,51.55
182,190,FC Utrecht,Dutch Eredivisie,1.65,1.4,51.36
183,174,Crotone,Italy Serie A,1.38,1.14,51.29
184,184,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
185,198,Ceará,Brasileiro Série A,1.37,1.14,51.07
186,178,FC Copenhagen,Danish SAS-Ligaen,1.56,1.34,51.05
187,179,Rio Ave,Portuguese Liga,1.19,0.96,51.04
188,186,Los Angeles FC,Major League Soccer,1.78,1.55,50.97
189,202,KAA Gent,Belgian Jupiler League,1.56,1.34,50.96
190,187,Philadelphia Union,Major League Soccer,1.6,1.38,50.91
191,188,CFR 1907 Cluj,UEFA Europa League,1.47,1.25,50.79
192,213,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.67,1.45,50.75
193,189,New York City FC,Major League Soccer,1.67,1.46,50.69
194,207,AGF Aarhus,Danish SAS-Ligaen,1.57,1.36,50.58
195,192,Ludogorets,UEFA Europa League,1.54,1.35,50.16
196,209,Dijon FCO,French Ligue 1,1.28,1.09,50.12
197,193,Sporting de Charleroi,Belgian Jupiler League,1.45,1.27,50.07
198,172,Mallorca,Spanish Segunda Division,1.21,1.02,50.01
199,194,Club América,Mexican Primera Division Torneo Apertura,1.49,1.3,50.0
200,212,Toulouse,French Ligue 2,1.61,1.43,49.91
201,195,Lech Poznan,UEFA Europa League,1.34,1.16,49.84
202,197,Rubin Kazan,Russian Premier Liga,1.19,1.0,49.83
203,199,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
204,241,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.48,1.31,49.53
205,203,Brondby,Danish SAS-Ligaen,1.55,1.39,49.46
206,201,CA Independiente,Argentina Primera Division,1.2,1.04,49.46
207,196,Corinthians,Brasileiro Série A,1.23,1.06,49.35
208,200,Pacos Ferreira,Portuguese Liga,1.3,1.14,49.3
209,205,Atlético Paranaense,Brasileiro Série A,1.17,1.02,48.99
210,208,Newell's Old Boys,Argentina Primera Division,1.24,1.11,48.58
211,211,Racing Club,Argentina Primera Division,1.18,1.06,48.4
212,204,Reading,English League Championship,1.29,1.17,48.35
213,214,Seattle Sounders FC,Major League Soccer,1.43,1.33,48.14
214,218,Barnsley,English League Championship,1.25,1.14,48.14
215,216,Millwall,English League Championship,1.19,1.08,47.93
216,217,FK Qarabag,UEFA Europa League,1.32,1.23,47.77
217,206,Fortaleza,Brasileiro Série A,1.13,1.03,47.71
218,215,St Gallen,Swiss Raiffeisen Super League,1.41,1.33,47.67
219,220,Panathinaikos,Greek Super League,1.08,0.98,47.54
220,210,Standard Liege,Belgian Jupiler League,1.34,1.3,46.78
221,227,Bahía,Brasileiro Série A,1.32,1.28,46.75
222,225,Hamburg SV,German 2. Bundesliga,1.45,1.42,46.45
223,222,Guadalajara,Mexican Primera Division Torneo Apertura,1.26,1.22,46.42
224,233,Preston North End,English League Championship,1.27,1.24,46.29
225,221,FC Nordsjaelland,Danish SAS-Ligaen,1.47,1.47,46.06
226,226,Morelia,Mexican Primera Division Torneo Clausura,1.43,1.42,46.04
227,242,FC Lugano,Swiss Raiffeisen Super League,1.23,1.22,45.72
228,228,Lanus,Argentina Primera Division,1.28,1.27,45.68
229,219,Santa Clara,Portuguese Liga,1.26,1.25,45.67
230,229,Atlético Goianiense,Brasileiro Série A,1.14,1.12,45.64
231,232,FC Khimki,Russian Premier Liga,1.34,1.35,45.53
232,234,Omonia Nicosia,UEFA Europa League,1.41,1.43,45.33
233,235,New England Revolution,Major League Soccer,1.4,1.43,45.11
234,230,Gil Vicente,Portuguese Liga,1.14,1.15,45.08
235,236,Portimonense,Portuguese Liga,1.14,1.15,45.04
236,237,Terek Grozny,Russian Premier Liga,1.09,1.1,44.96
237,224,Huddersfield Town,English League Championship,1.25,1.27,44.93
238,239,FC Zorya Luhansk,UEFA Europa League,1.27,1.29,44.92
239,261,Sivasspor,Turkish Turkcell Super Lig,1.2,1.22,44.87
240,223,Nimes,French Ligue 1,1.32,1.36,44.84
241,240,Talleres de Córdoba,Argentina Primera Division,1.21,1.23,44.82
242,231,Queens Park Rangers,English League Championship,1.29,1.33,44.7
243,252,Luton Town,English League Championship,1.1,1.12,44.64
244,243,Yokohama F. Marinos,Japanese J League,1.72,1.8,44.62
245,244,Famalicao,Portuguese Liga,1.24,1.28,44.6
246,246,Almeria,Spanish Segunda Division,1.13,1.16,44.55
247,245,Pumas Unam,Mexican Primera Division Torneo Apertura,1.25,1.3,44.41
248,247,Ural Sverdlovsk Oblast,Russian Premier Liga,1.16,1.2,44.32
249,249,Rotherham United,English League Championship,1.25,1.31,44.11
250,238,Derby County,English League Championship,1.08,1.12,44.1
251,250,Djurgardens IF,Swedish Allsvenskan,1.3,1.37,44.07
252,253,Nottingham Forest,English League Championship,1.11,1.15,44.05
253,255,Boavista,Portuguese Liga,1.11,1.17,43.88
254,254,SC Farense,Portuguese Liga,1.25,1.32,43.85
255,251,Aris Salonika,Greek Super League,1.32,1.4,43.8
256,259,Botafogo,Brasileiro Série A,1.21,1.29,43.49
257,248,FC Groningen,Dutch Eredivisie,1.15,1.23,43.42
258,262,Bristol City,English League Championship,1.18,1.28,43.21
259,260,Kashima Antlers,Japanese J League,1.27,1.39,42.93
260,263,Argentinos Juniors,Argentina Primera Division,1.0,1.08,42.87
261,264,FC Arsenal Tula,Russian Premier Liga,1.15,1.26,42.79
262,265,Rosario Central,Argentina Primera Division,1.15,1.27,42.73
263,268,Estudiantes,Argentina Primera Division,1.0,1.1,42.6
264,284,Sparta,Dutch Eredivisie,1.45,1.61,42.55
265,258,FC Twente,Dutch Eredivisie,1.39,1.55,42.44
266,272,Portland Timbers,Major League Soccer,1.47,1.65,42.13
267,286,Randers FC,Danish SAS-Ligaen,1.23,1.39,42.03
268,257,FC Luzern,Swiss Raiffeisen Super League,1.38,1.56,41.99
269,274,Necaxa,Mexican Primera Division Torneo Apertura,1.14,1.29,41.95
270,270,Vasco da Gama,Brasileiro Série A,1.12,1.27,41.8
271,277,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
272,316,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.19,1.36,41.71
273,279,Hannover 96,German 2. Bundesliga,1.18,1.35,41.71
274,271,Rosenborg,Norwegian Tippeligaen,1.34,1.53,41.66
275,295,Fortuna Düsseldorf,German 2. Bundesliga,1.26,1.44,41.62
276,269,Amiens,French Ligue 2,1.03,1.17,41.55
277,303,Rayo Vallecano,Spanish Segunda Division,1.05,1.2,41.48
278,280,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
279,276,Konyaspor,Turkish Turkcell Super Lig,1.2,1.38,41.38
280,299,Moreirense,Portuguese Liga,1.04,1.19,41.34
281,282,Sporting Kansas City,Major League Soccer,1.36,1.57,41.31
282,267,Birmingham,English League Championship,1.09,1.26,41.3
283,289,Servette,Swiss Raiffeisen Super League,1.22,1.41,41.29
284,285,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
285,288,Chicago Fire,Major League Soccer,1.48,1.72,41.16
286,326,Heracles,Dutch Eredivisie,1.27,1.48,41.16
287,290,Minnesota United FC,Major League Soccer,1.42,1.65,41.11
288,256,Heerenveen,Dutch Eredivisie,1.48,1.71,41.1
289,291,Dundalk,UEFA Europa League,1.48,1.72,41.02
290,292,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
291,266,Troyes,French Ligue 2,1.1,1.28,40.89
292,293,FC Ufa,Russian Premier Liga,0.94,1.1,40.81
293,294,Columbus Crew,Major League Soccer,1.28,1.5,40.81
294,313,Clermont Foot,French Ligue 2,1.0,1.18,40.76
295,301,Maritimo,Portuguese Liga,1.09,1.29,40.76
296,297,Orlando City SC,Major League Soccer,1.32,1.56,40.56
297,306,Auxerre,French Ligue 2,1.21,1.43,40.55
298,331,SC Paderborn,German 2. Bundesliga,1.22,1.45,40.54
299,298,Inter Miami CF,Major League Soccer,1.28,1.51,40.49
300,278,Monza,Italy Serie B,1.2,1.42,40.44
301,300,Patronato,Argentina Primera Division,1.2,1.43,40.35
302,302,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
303,308,Leganes,Spanish Segunda Division,0.98,1.18,40.23
304,304,Tijuana,Mexican Primera Division Torneo Apertura,1.15,1.38,40.19
305,305,IFK Norrkoping,Swedish Allsvenskan,1.53,1.82,40.17
306,314,Goiás,Brasileiro Série A,1.15,1.38,40.08
307,287,OH Leuven,Belgian Jupiler League,1.39,1.66,40.04
308,328,PEC Zwolle,Dutch Eredivisie,1.25,1.5,39.96
309,325,Sport Recife,Brasileiro Série A,1.09,1.32,39.93
310,311,Colorado Rapids,Major League Soccer,1.37,1.65,39.89
311,312,Slovan Liberec,UEFA Europa League,1.19,1.44,39.87
312,310,C.D. Nacional,Portuguese Liga,1.1,1.34,39.83
313,275,Goztepe,Turkish Turkcell Super Lig,1.21,1.46,39.76
314,281,FC Zurich,Swiss Raiffeisen Super League,1.26,1.53,39.74
315,315,Toronto FC,Major League Soccer,1.29,1.57,39.67
316,317,Banfield,Argentina Primera Division,0.98,1.2,39.66
317,307,Coventry City,English League Championship,1.07,1.31,39.63
318,350,Grenoble,French Ligue 2,0.99,1.21,39.6
319,319,Atlas,Mexican Primera Division Torneo Apertura,1.08,1.32,39.56
320,320,Rijeka,UEFA Europa League,1.28,1.56,39.55
321,309,Belenenses,Portuguese Liga,0.91,1.11,39.54
322,283,St. Pölten,Austrian T-Mobile Bundesliga,1.37,1.66,39.52
323,321,Arizona United,United Soccer League,1.48,1.8,39.5
324,322,FC Dallas,Major League Soccer,1.27,1.55,39.47
325,323,Querétaro,Mexican Primera Division Torneo Apertura,1.17,1.44,39.38
326,324,Kashiwa Reysol,Japanese J League,1.26,1.55,39.36
327,329,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
328,330,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
329,332,BK Hacken,Swedish Allsvenskan,1.07,1.34,38.97
330,340,Odense BK,Danish SAS-Ligaen,1.19,1.49,38.89
331,334,New York Red Bulls,Major League Soccer,1.3,1.63,38.83
332,318,Tondela,Portuguese Liga,1.1,1.39,38.77
333,296,AaB,Danish SAS-Ligaen,1.14,1.44,38.73
334,336,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
335,337,Henan Jianye,Chinese Super League,1.25,1.57,38.55
336,342,Fatih Karagümrük,Turkish Turkcell Super Lig,1.2,1.52,38.54
337,338,FC Juárez,Mexican Primera Division Torneo Apertura,1.12,1.42,38.51
338,358,SpVgg Greuther Fürth,German 2. Bundesliga,1.18,1.5,38.45
339,354,Wycombe Wanderers,English League Championship,1.11,1.42,38.33
340,341,VfL Bochum,German 2. Bundesliga,1.2,1.53,38.29
341,343,Toluca,Mexican Primera Division Torneo Apertura,1.24,1.59,38.16
342,344,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
343,353,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.15,1.48,38.14
344,335,Coritiba,Brasileiro Série A,1.05,1.36,38.13
345,365,KV Mechelen,Belgian Jupiler League,1.37,1.74,38.11
346,346,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
347,347,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.58,1.99,38.08
348,367,Lausanne Sports,Swiss Raiffeisen Super League,1.12,1.44,38.02
349,333,Hibernian,Scottish Premiership,1.13,1.46,37.96
350,348,Huracán,Argentina Primera Division,0.95,1.24,37.93
351,349,Hammarby,Swedish Allsvenskan,1.48,1.89,37.89
352,356,Sheffield Wednesday,English League Championship,0.97,1.27,37.81
353,371,Holstein Kiel,German 2. Bundesliga,1.18,1.53,37.8
354,395,Valerenga,Norwegian Tippeligaen,1.18,1.53,37.74
355,357,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
356,273,Kasimpasa,Turkish Turkcell Super Lig,1.24,1.61,37.57
357,368,Antalyaspor,Turkish Turkcell Super Lig,1.08,1.42,37.57
358,359,Cerezo Osaka,Japanese J League,0.97,1.28,37.56
359,360,Nagoya Grampus Eight,Japanese J League,0.9,1.2,37.55
360,351,Karlsruher SC,German 2. Bundesliga,1.2,1.57,37.42
361,361,Atlanta United FC,Major League Soccer,1.11,1.46,37.41
362,345,KV Kortrijk,Belgian Jupiler League,1.16,1.53,37.36
363,362,Atromitos,Greek Super League,1.0,1.33,37.25
364,327,Girona FC,Spanish Segunda Division,0.86,1.16,37.2
365,363,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
366,386,Aberdeen,Scottish Premiership,1.07,1.44,37.0
367,366,1. FC Heidenheim 1846,German 2. Bundesliga,1.04,1.4,37.0
368,378,Caykur Rizespor,Turkish Turkcell Super Lig,1.25,1.66,36.98
369,369,Nashville SC,Major League Soccer,0.99,1.33,36.92
370,383,SV Darmstadt 98,German 2. Bundesliga,1.23,1.65,36.74
371,352,Lecce,Italy Serie B,1.21,1.62,36.74
372,339,SV Zulte Waregem,Belgian Jupiler League,1.23,1.64,36.7
373,372,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
374,355,Eupen,Belgian Jupiler League,1.13,1.53,36.65
375,379,Hartberg,Austrian T-Mobile Bundesliga,1.3,1.74,36.51
376,374,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
377,376,KV Oostende,Belgian Jupiler League,1.12,1.53,36.3
378,377,Houston Dynamo,Major League Soccer,1.28,1.73,36.3
379,375,Sporting Gijón,Spanish Segunda Division,0.81,1.14,36.2
380,391,Willem II,Dutch Eredivisie,1.3,1.76,36.12
381,380,Sanfrecce Hiroshima,Japanese J League,0.91,1.28,36.03
382,364,Sonderjyske,Danish SAS-Ligaen,1.13,1.56,35.98
